crime_rate,time,distance_home,direction_changes,path_deviation,stops,no_signal,battery,safety_score
22,3:45 PM,3.355,7,0,7,0,64,
6,6:58 PM,1.612,6,0,20,0,27,
28,1:14 PM,1.573,16,0,3,0,44,
28,6:17 PM,0.699,4,0,5,0,71,
11,10:26 AM,0.152,20,1,6,0,89,
28,12:51 PM,0.232,7,0,6,0,96,
1,5:13 PM,2.75,12,0,1,0,83,
24,3:06 PM,4.035,1,0,1,0,94,
23,11:19 AM,1.142,8,0,11,0,54,
13,6:14 PM,3.638,6,0,7,0,25,
13,10:22 AM,2.588,19,0,12,0,85,
16,6:53 AM,1.662,7,0,1,1,36,
17,5:31 PM,2.765,11,1,11,0,15,
29,8:26 AM,0.56,9,0,3,0,11,
10,6:03 AM,3.938,11,0,7,0,77,
67,11:45 AM,3.405,9,1,19,1,67,
6,8:04 AM,0.561,8,0,16,0,0,
12,10:24 AM,4.714,12,0,14,0,51,
27,3:03 AM,0.589,17,0,8,0,63,
17,6:55 PM,1.729,20,0,13,0,16,
12,5:39 PM,2.81,8,0,9,0,34,
3,7:36 AM,2.283,9,0,5,0,47,
22,6:55 AM,3.092,7,0,19,0,46,
18,6:30 PM,2.352,6,0,19,1,82,
2,6:22 PM,2.797,20,0,15,0,95,
30,1:08 PM,2.278,9,0,8,0,71,
16,6:53 AM,4.535,11,0,9,0,12,
30,2:59 PM,2.812,20,0,0,0,84,
21,10:30 AM,1.726,6,0,19,0,88,
30,9:26 AM,3.235,2,0,0,0,98,
9,8:05 AM,0.31,2,0,3,0,69,
13,2:25 PM,3.715,8,0,15,0,38,
23,3:49 PM,2.394,2,0,3,0,4,
25,11:33 AM,4.827,13,0,8,1,19,
2,1:44 PM,3.337,9,0,10,0,96,
15,9:04 AM,4.93,9,0,6,0,38,
12,10:26 AM,0.005,6,0,10,0,99,
7,7:21 AM,4.083,7,0,9,0,16,
29,7:48 AM,4.235,6,0,15,0,42,
24,6:50 AM,3.545,1,0,17,0,24,
8,7:47 AM,0.647,5,1,19,0,50,
6,6:50 AM,2.168,14,0,9,0,97,
6,6:20 AM,4.624,3,0,11,0,64,
14,7:38 AM,2.65,11,0,3,0,76,
1,8:01 AM,2.22,4,0,14,0,64,
13,12:13 PM,3.898,5,0,5,0,8,
7,11:45 AM,1.701,3,0,4,0,31,
28,6:12 PM,4.334,1,1,0,0,60,
29,10:46 AM,4.581,9,0,9,0,81,
10,1:45 PM,4.319,13,0,6,0,33,
18,4:18 PM,0.925,14,1,13,0,18,
26,4:00 PM,2.843,19,0,11,1,20,
2,11:53 AM,2.148,17,0,5,0,86,
12,8:35 AM,2.229,4,0,0,1,8,
9,10:10 AM,4.267,5,0,12,0,93,
23,7:40 AM,2.699,13,0,2,1,64,
19,2:41 PM,3.836,7,0,8,0,96,
5,6:12 PM,4.297,12,0,4,1,18,
24,2:24 PM,4.203,2,1,17,0,66,
7,7:54 AM,1.059,6,1,15,0,21,
2,8:41 AM,1.484,11,0,8,0,61,
27,5:08 PM,3.659,4,0,7,0,0,
18,9:10 AM,4.549,4,0,1,0,61,
15,5:26 PM,4.593,0,0,3,0,91,
23,12:31 PM,1.349,4,0,9,0,88,
26,2:49 PM,4.494,20,0,0,0,14,
25,12:08 PM,3.337,4,0,19,0,80,
6,11:19 AM,1.83,15,0,9,0,80,
6,10:17 AM,0.141,14,0,19,0,65,
9,4:28 PM,4.613,14,0,8,0,48,
9,4:33 PM,2.252,16,0,0,0,11,
18,8:27 AM,2.899,4,0,2,0,41,
29,11:01 AM,2.73,16,0,3,0,28,
28,9:30 AM,2.046,9,0,1,0,27,
15,3:33 PM,2.561,5,0,8,0,9,
3,4:39 PM,2.92,4,0,11,0,27,
14,2:46 PM,0.963,12,0,16,1,86,
26,7:45 AM,1.068,12,0,13,0,22,
21,2:33 PM,1.506,14,0,8,0,18,
21,3:02 PM,3.689,7,0,2,0,19,
28,6:53 PM,4.032,3,0,10,0,12,
12,8:15 AM,0.107,5,0,6,0,77,
7,1:58 PM,4.855,19,0,4,0,78,
14,9:30 AM,4.991,6,0,12,0,89,
20,9:58 AM,2.264,19,0,14,0,38,
13,6:39 AM,3.99,4,1,16,0,67,
14,4:17 PM,0.011,9,0,11,0,22,
4,8:32 AM,0.191,1,0,18,0,24,
1,3:05 PM,0.101,14,0,20,0,6,
13,2:58 PM,0.024,3,1,20,0,89,
3,10:34 AM,4.825,13,0,7,0,69,
23,11:42 AM,4.819,4,0,7,1,44,
18,3:23 PM,3.279,1,1,7,0,47,
1,6:40 AM,4.971,10,0,2,0,72,
8,12:01 PM,3.052,12,0,14,0,70,
22,11:08 AM,4.403,13,0,15,0,6,
14,4:09 PM,2.917,11,0,1,0,70,
14,7:20 AM,1.407,18,0,3,0,63,
10,3:54 PM,2.952,11,1,15,0,92,
23,7:50 AM,0.513,14,0,11,0,68,
6,6:42 AM,0.403,14,0,17,0,18,
28,12:08 PM,2.411,4,0,17,0,7,
3,8:16 AM,0.687,1,0,6,0,54,
2,8:57 AM,1.71,12,0,14,0,73,
19,3:56 PM,3.572,14,0,20,0,74,
19,5:26 PM,0.206,18,0,5,0,30,
20,7:37 AM,0.199,15,0,7,0,53,
4,10:13 AM,2.655,3,0,20,0,71,
5,10:39 AM,0.795,2,1,0,0,16,
16,4:18 PM,2.275,14,0,3,1,92,
14,3:06 PM,2.735,17,0,17,0,49,
10,7:49 AM,2.483,20,0,17,0,16,
4,6:37 PM,1.59,6,0,13,0,96,
23,10:10 PM,0.917,5,0,8,0,7,
29,12:41 PM,3.206,13,0,13,0,92,
8,2:18 PM,2.343,11,1,12,1,50,
22,7:49 AM,1.985,1,0,17,0,8,
10,6:52 AM,2.881,16,0,4,1,21,
16,12:54 PM,4.484,20,1,17,0,8,
23,3:32 PM,1.78,14,0,5,0,28,
27,4:49 PM,0.117,20,0,0,0,77,
4,9:42 AM,3.654,7,0,0,0,83,
10,3:56 PM,3.103,12,0,9,0,43,
25,6:59 AM,2.476,17,1,19,0,85,
19,8:28 AM,4.845,18,1,14,1,98,
26,11:40 AM,1.158,17,0,6,0,49,
5,11:54 AM,0.457,6,0,1,0,78,
10,6:34 AM,3.639,14,0,20,0,71,
10,7:31 AM,0.379,3,0,15,0,6,
7,5:14 PM,4.859,12,0,2,0,84,
17,4:49 PM,2.76,6,0,16,0,30,
22,4:00 PM,2.033,0,0,6,0,13,
18,11:03 AM,2.183,11,0,2,0,98,
56,5:35 PM,0.451,20,0,15,0,87,
18,10:47 AM,3.633,13,0,15,0,0,
26,8:32 AM,4.189,12,0,13,0,60,
3,7:40 AM,3.581,4,0,15,0,38,
16,9:28 AM,3.642,14,0,13,0,77,
15,8:00 AM,4.537,14,0,13,0,91,
3,8:11 AM,4.146,19,0,15,0,3,
